"#","Reference","Qty","Value","Footprint","DNP"
"1","Brd1","1","SSD1306","",""
"2","C1, C3","2","10pF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"3","C2, C4, C5, C6, C8, C9, C10, C12","8","0.1uF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"4","C7","1","10nF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"5","C11","1","100uF","",""
"6","C13","1","1uF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"7","D1, D3","2","5.1V","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"8","D2, D4, D5, D6, D7, D8, D9, D10, D11","9","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"9","F1","1","1A","",""
"10","J1","1","MIDI IN 1","",""
"11","J2","1","MIDI IN 2","",""
"12","J3","1","MIDI THRU 1","",""
"13","J4","1","MIDI THRU 2","",""
"14","J5, J6","2","MIDI OUT 1","",""
"15","J7","1","MIDI OUT 3","",""
"16","J8","1","MIDI OUT 4","",""
"17","J9","1","DC 9V","",""
"18","J10","1","CLOCK IN","",""
"19","J11","1","CLOCK OUT 1","",""
"20","J12","1","CLOCK OUT 2","",""
"21","R1, R3, R5, R6, R7, R9, R10, R11, R12, R18, R21, R22","12","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22","R2, R4, R8, R14, R15","5","4.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"23","R13, R16, R17, R19, R20","5","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"24","RV1","1","B 10K","",""
"25","SW1","1","MASTER CLOCK","",""
"26","U1, U2, U3","3","6N137","Package_DIP:DIP-8_W7.62mm",""
"27","U4","1","74HC14","",""
